Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
4,"McHugh, Kaylie",So,L,5-6,128,0,128,33.0,,1,3,8,-0.25,123.0,31.0,39.0,592.0,30.0,,,,32.0,1.0,
1,"Bowers, Justine",Sr,S,5-10,128,0,128,33.0,26.0,88,27,209,0.292,955.0,41.0,63.0,217.0,,,11.0,1.0,134.5,32.0,1.0
12,"Kern, Dayna",Jr,MB,6-3,125,0,125,33.0,33.0,279,102,679,0.261,9.0,3.0,12.0,34.0,,16.0,84.0,25.0,340.0,2.0,
16,"Shaw, Hannah",Jr,OH,6-0,125,0,125,33.0,27.0,268,104,907,0.18100000000000002,21.0,13.0,18.0,211.0,38.0,4.0,36.0,7.0,303.0,1.0,
9,"Douglas, Lexie",Fr,OH,6-0,117,0,117,32.0,27.0,249,148,785,0.129,22.0,24.0,34.0,243.0,36.0,3.0,30.0,11.0,291.0,1.0,
6,"Mordell, Lisa",Jr,L/DS,5-7,107,0,107,30.0,9.0,1,0,3,0.33299999999999996,21.0,16.0,15.0,250.0,13.0,,,,17.0,1.0,
30,"Silver, Alexis",So,RS,6-0,105,0,105,29.0,21.0,213,92,630,0.192,1.0,1.0,1.0,29.0,,2.0,54.0,4.0,243.0,,
24,"Thompson, Kristen",Fr,RS,6-0,104,0,104,30.0,6.0,198,116,612,0.134,2.0,,,54.0,,2.0,42.0,1.0,221.0,,
11,"Benoit, Markenzie",Fr,MH,6-1,103,0,103,29.0,26.0,184,89,427,0.222,10.0,21.0,34.0,64.0,2.0,18.0,75.0,8.0,260.5,2.0,
13,"Ibieta, Jenna",Fr,S,5-10,88,0,88,25.0,7.0,6,4,21,0.095,367.0,20.0,6.0,158.0,,,,,26.0,10.0,
10,"Hansel, Erika",So,MH,6-1,70,0,70,22.0,12.0,144,49,357,0.266,1.0,1.0,6.0,22.0,,1.0,38.0,6.0,165.0,1.0,
5,"Primavera, Mia",Fr,L,5-6,36,0,36,10.0,2.0,0,2,3,-0.667,15.0,,3.0,60.0,4.0,,,,,,
18,"Doyle, Meghan",So,L,5-10,26,0,26,15.0,2.0,4,2,22,0.091,2.0,2.0,4.0,37.0,4.0,,,,6.0,,
8,"Levine, Nicole",Fr,OH,5-10,2,0,2,1.0,,0,0,0,,,1.0,3.0,,,,,,1.0,,
-,TEAM,-,-,-,-,-,50,23.0,,0,1,1,-1.0,27.0,,,,21.0,,,,,,
-,Totals,-,-,-,-,-,128,,,1635,739,4664,0.192,1576.0,174.0,238.0,1971.0,148.0,46.0,370.0,63.0,2040.0,51.0,
-,Opponent Totals,-,-,-,-,-,128,,,1572,627,4420,0.214,1508.0,148.0,236.0,1967.0,174.0,72.0,465.0,67.0,2024.5,45.0,
