Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
5,"Cianciulli, Raigen",Fr,DS,5-4,112,0,112,30.0,1,3,16,-0.125,127.0,14.0,31.0,499.0,40.0,,,,15.0,,
7,"Bannister, Taylor",Fr,MB,6-5,112,0,112,30.0,361,163,785,0.252,2.0,,,32.0,2.0,6.0,71.0,21.0,402.5,3.0,
20,"Quinn, Kelly",Sr,L/DS,5-4,112,0,112,30.0,2,0,5,0.4,19.0,8.0,16.0,161.0,22.0,,,1.0,10.0,,
8,"Beyer, Olivia",Jr,MB,6-1,111,0,111,30.0,203,52,501,0.301,7.0,4.0,10.0,49.0,1.0,19.0,84.0,7.0,268.0,1.0,
12,"Tillis, Gina",Sr,OH,5-11,111,0,111,30.0,287,128,859,0.185,41.0,11.0,33.0,354.0,44.0,9.0,43.0,6.0,328.5,3.0,
2,"Zwiebel, Anna",So,S,5-10,110,0,110,30.0,62,10,151,0.344,1069.0,18.0,47.0,244.0,1.0,3.0,40.0,3.0,103.0,33.0,
13,"Armer, Jacqui",So,MB,6-3,103,0,103,28.0,221,83,485,0.285,5.0,9.0,12.0,23.0,2.0,22.0,104.0,20.0,304.0,,
25,"Rodriguez, Toni",Jr,OH,6-1,99,0,99,28.0,242,107,799,0.16899999999999998,3.0,11.0,14.0,53.0,4.0,14.0,34.0,3.0,284.0,,
16,"Flory, Lindsay",Jr,S,6-0,95,0,95,29.0,8,3,16,0.312,128.0,15.0,17.0,171.0,,,1.0,,23.5,2.0,
9,"Kampen, Katie",Jr,DS,5-11,65,0,65,27.0,3,1,9,0.222,4.0,6.0,12.0,45.0,1.0,,1.0,,9.5,,
19,"Mukes, Sydney",So,OH,6-2,26,0,26,13.0,26,16,90,0.111,,,,12.0,,1.0,9.0,,31.5,,
17,"Stokes, Milan",So,OH,5-10,23,0,23,13.0,65,25,166,0.24100000000000002,,,1.0,8.0,,2.0,4.0,,69.0,,
1,"Fears, Khourtni",Sr,MB,6-2,18,0,18,11.0,10,5,27,0.185,,,,1.0,1.0,2.0,9.0,,16.5,,
23,"Wood, Cheyenne",Sr,S,5-7,14,0,14,5.0,0,0,1,0.0,1.0,4.0,2.0,36.0,,,,,4.0,,
4,"Decker, Nicole",Fr,DS,5-10,2,0,2,2.0,0,0,0,,1.0,,,2.0,1.0,,,,,,
14,"Tureaud, Jariel",So,MB,6-1,1,0,1,1.0,1,2,3,-0.33299999999999996,,,,,,,1.0,,1.5,,
-,TEAM,-,-,-,-,-,20,15.0,0,0,0,,,,,,16.0,,,,,,
-,Totals,-,-,-,-,-,112,,1492,598,3913,0.228,1407.0,100.0,195.0,1690.0,135.0,78.0,401.0,61.0,1870.5,42.0,
-,Opponent Totals,-,-,-,-,-,112,,1393,633,3973,0.191,1305.0,135.0,240.0,1568.0,100.0,50.0,342.0,42.0,1749.0,32.0,
