Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Reilly, Stacey",Sr,OH,5-10,121,0,121,32.0,32.0,326,133,1208,0.16,43.0,21.0,38.0,315.0,26.0,14.0,32.0,8.0,377.0,1.0,
8,"Davis, Sydney",Jr,OH,5-10,121,0,121,32.0,,2,2,8,0.0,108.0,27.0,32.0,603.0,27.0,,,,29.0,5.0,
6,"Bartczyszyn, Jessica",Sr,S,5-9,121,0,121,32.0,30.0,75,13,216,0.287,1171.0,16.0,9.0,251.0,,16.0,42.0,3.0,128.0,26.0,
20,"Abram, Dree'Ana",So,MB,6-2,118,0,118,32.0,31.0,239,78,585,0.275,4.0,17.0,27.0,56.0,1.0,30.0,96.0,20.0,334.0,,
24,"Breaux, Avery",Fr,S,5-6,115,0,115,31.0,16.0,1,1,16,0.0,55.0,21.0,29.0,296.0,,,,,22.0,4.0,
17,"Wisnoskie, Hali",Fr,OH,6-2,115,0,115,32.0,22.0,332,109,931,0.24,8.0,,2.0,78.0,11.0,12.0,48.0,3.0,368.0,1.0,
3,"Antoine, Nia",Jr,OH,5-11,115,0,115,32.0,31.0,239,74,556,0.297,6.0,2.0,8.0,47.0,,26.0,80.0,15.0,307.0,2.0,
1,"Hebert, Lexi",Fr,L,5-7,106,0,106,30.0,7.0,27,20,130,0.054000000000000006,22.0,7.0,29.0,255.0,12.0,,,,34.0,,
7,"Rovira, Hanna",Jr,OH,6-1,96,0,96,29.0,12.0,175,62,504,0.22399999999999998,5.0,2.0,4.0,70.0,6.0,13.0,41.0,15.0,210.5,2.0,
16,"Cordell, Chloe",Sr,OH,6-0,56,0,56,16.0,8.0,86,50,275,0.131,6.0,1.0,6.0,33.0,4.0,5.0,22.0,1.0,103.0,,
10,"Henry, Hannah",Jr,DS,5-8,45,0,45,20.0,1.0,3,1,10,0.2,7.0,2.0,3.0,51.0,3.0,,,,5.0,,
13,"Brooks, Chynna",Sr,OH,5-10,15,0,15,8.0,2.0,19,10,50,0.18,2.0,,,3.0,,2.0,8.0,,25.0,,
23,"Angelo, Julia",Fr,OH,5-9,2,0,2,1.0,,0,0,0,,,,,5.0,,,,,,,
4,"Young, Katherine",Jr,OH,6-1,1,0,1,1.0,,0,1,5,-0.2,,,,1.0,,,1.0,,0.5,,
-,TEAM,-,-,-,-,-,78,27.0,,0,0,0,,,,,,18.0,,,,,,
-,Totals,-,-,-,-,-,121,,,1524,554,4494,0.21600000000000003,1437.0,116.0,187.0,2064.0,108.0,118.0,370.0,65.0,1943.0,41.0,
-,Opponent Totals,-,-,-,-,-,121,,,1655,756,4785,0.188,1557.0,108.0,226.0,2178.0,116.0,65.0,254.0,59.0,1955.0,62.0,
