Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
6,"Koehler, Courtney",So,S,5-11,116,0,116,30.0,83,16,203,0.33,1123.0,23.0,27.0,219.0,,10.0,33.0,11.0,132.5,36.0,
8,"Shields, Mikayla",So,RS,6-0,116,0,116,30.0,429,133,1046,0.28300000000000003,24.0,20.0,43.0,282.0,22.0,17.0,58.0,15.0,495.0,4.0,
5,"Ezell, Aubrey",Jr,L/DS,5-8,116,0,116,30.0,2,3,17,-0.059000000000000004,119.0,49.0,81.0,527.0,29.0,,,,51.0,7.0,
11,"Robinson, Mikayla",Fr,MB,6-2,115,0,115,30.0,260,95,542,0.304,5.0,,,10.0,1.0,17.0,104.0,6.0,329.0,,
1,"Edwards, Claire",So,MB,6-2,101,0,101,28.0,177,81,433,0.222,2.0,13.0,44.0,35.0,,16.0,58.0,4.0,235.0,3.0,
3,"Vastine, Jess",Fr,OH,6-1,87,0,87,29.0,42,22,158,0.127,20.0,11.0,11.0,111.0,26.0,,14.0,1.0,60.0,,
20,"Starr, Alicia",So,OH,6-0,86,0,86,26.0,154,55,487,0.203,16.0,3.0,13.0,107.0,15.0,5.0,46.0,6.0,185.0,,
22,"Epps, Abreia",Sr,OH,6-0,81,0,81,24.0,150,79,443,0.16,2.0,,,31.0,5.0,,12.0,7.0,156.0,,
12,"Furlong, Courtney",Jr,OH,6-3,71,0,71,26.0,101,68,360,0.092,5.0,3.0,1.0,50.0,7.0,5.0,36.0,7.0,127.0,,
10,"Lock, Emma",Jr,L/DS,5-9,64,0,64,22.0,2,3,9,-0.111,11.0,7.0,12.0,74.0,11.0,,,,9.0,,
7,"Gostomski, Brooke",Fr,OH,6-1,43,0,43,19.0,11,4,26,0.26899999999999996,2.0,9.0,6.0,28.0,4.0,,1.0,,20.5,,
25,"McKeag, Courtney",Jr,OH,6-0,35,0,35,13.0,3,1,10,0.2,4.0,2.0,5.0,34.0,7.0,,,,5.0,,
16,"Murray, Savannah",So,L/DS,5-9,25,0,25,13.0,0,0,2,0.0,2.0,,2.0,33.0,3.0,,,,,,
23,"Brown, Callie",Jr,MB,6-1,6,0,6,5.0,3,2,11,0.091,,,,,,,3.0,,4.5,,
15,"Turner, Jesse",Jr,MB,6-2,2,0,2,2.0,2,0,4,0.5,,,1.0,,,,,,2.0,,
-,TEAM,-,-,-,-,-,38,22.0,0,0,0,,,,,,39.0,,,,,,
-,Totals,-,-,-,-,-,116,,1419,562,3751,0.228,1335.0,140.0,246.0,1541.0,169.0,70.0,365.0,57.0,1811.5,50.0,
-,Opponent Totals,-,-,-,-,-,116,,1490,625,3907,0.221,1377.0,169.0,265.0,1538.0,140.0,59.0,281.0,48.0,1858.5,29.0,
