Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Stavnetchei, Gabriela",Sr,OH,5-10,113,0,113,31.0,467,220,1346,0.184,41.0,14.0,20.0,321.0,42.0,5.0,30.0,4.0,501.0,1.0,
9,"Benda, Gabby",Sr,S,6-0,112,0,112,31.0,39,18,92,0.228,925.0,15.0,15.0,209.0,,1.0,15.0,4.0,62.5,10.0,
4,"Wilson, Sydney",Sr,MB,6-2,112,0,112,31.0,226,70,498,0.313,6.0,,1.0,22.0,2.0,22.0,88.0,9.0,292.0,,
33,"Askin, Ashley",Sr,OH,6-1,112,0,112,31.0,249,99,862,0.174,29.0,29.0,22.0,304.0,48.0,5.0,24.0,1.0,295.0,1.0,
1,"Comby, Kodie",So,MB,6-1,109,0,109,30.0,206,86,447,0.268,28.0,14.0,18.0,82.0,,11.0,59.0,17.0,260.5,7.0,
8,"Knapp, Sam",Fr,L/DS,5-6,102,0,102,28.0,1,0,1,1.0,49.0,15.0,11.0,345.0,47.0,,,,16.0,,
14,"Clifton, Cori",Fr,RS,6-1,83,0,83,29.0,129,51,332,0.235,1.0,,,39.0,1.0,3.0,35.0,2.0,149.5,,
12,"Alford, Nicole",Fr,S,6-1,65,0,65,21.0,4,1,7,0.429,270.0,1.0,10.0,71.0,1.0,1.0,1.0,2.0,6.5,7.0,
3,"Frerking, Lauren",Jr,MB,6-2,62,0,62,27.0,31,9,89,0.247,2.0,2.0,,16.0,,2.0,25.0,1.0,47.5,,
97,"Rigsbee, Grace",Fr,RS,6-1,62,0,62,22.0,76,24,188,0.27699999999999997,,,,31.0,1.0,4.0,36.0,5.0,98.0,,
10,"Becker, Emily",So,L/DS,5-4,62,0,62,25.0,0,0,0,,7.0,5.0,14.0,65.0,2.0,,,,5.0,,
23,"Del Romano, Alessia",Fr,MB,5-9,51,0,51,22.0,7,0,16,0.43799999999999994,11.0,3.0,7.0,82.0,17.0,,1.0,,10.5,,
21,"Spencer, Simone",So,RS,5-10,2,0,2,1.0,0,0,1,0.0,,,,,,,1.0,,0.5,,
5,"Wilson, Kendall",Fr,MB,6-1,2,0,2,2.0,1,0,1,1.0,,,,,,,,,1.0,,
-,TEAM,-,-,-,-,-,16,14.0,0,0,0,,,,,,15.0,,,,,,
-,Totals,-,-,-,-,-,113,,1436,578,3880,0.221,1369.0,98.0,118.0,1587.0,176.0,54.0,315.0,45.0,1745.5,26.0,
-,Opponent Totals,-,-,-,-,-,113,,1560,599,3996,0.24,1468.0,175.0,203.0,1581.0,98.0,32.0,445.0,54.0,1989.5,29.0,
