Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Taylor, Karlie",So,OH,5-11,131,0,131,36.0,36.0,507,203,1373,0.221,27.0,23.0,55.0,475.0,18.0,20.0,23.0,12.0,561.5,,
16,"Seehase, Jaydlin",Fr,OH,6-1,131,0,131,36.0,36.0,266,112,724,0.213,3.0,,,62.0,,7.0,49.0,2.0,297.5,1.0,
6,"Sorge, Kendyl",Jr,L/DS,5-7,131,0,131,36.0,,2,0,7,0.28600000000000003,143.0,17.0,13.0,625.0,31.0,,,,19.0,1.0,
10,"Hook, Heather",Sr,S,5-11,131,0,131,36.0,36.0,143,33,374,0.294,1530.0,22.0,17.0,346.0,1.0,9.0,43.0,14.0,195.5,24.0,
17,"Thomas, Piper",Jr,MH,6-1,131,0,131,36.0,36.0,524,114,1139,0.36,16.0,7.0,30.0,79.0,1.0,28.0,91.0,7.0,604.5,4.0,
4,"Weber, Bri",Jr,OH,5-10,131,0,131,36.0,36.0,426,177,1348,0.185,58.0,31.0,27.0,514.0,28.0,12.0,35.0,2.0,486.5,2.0,
20,"Hedges, Taylor",Fr,DS,5-7,130,0,130,36.0,,2,0,7,0.28600000000000003,56.0,22.0,14.0,377.0,8.0,,,1.0,24.0,1.0,
3,"Johnson, Moriah",Jr,RS,6-2,123,0,123,36.0,36.0,106,51,317,0.174,10.0,,,47.0,2.0,7.0,63.0,6.0,144.5,2.0,
18,"Staack, Abbi",So,DS,5-8,53,0,53,27.0,,2,0,9,0.222,1.0,3.0,2.0,34.0,,,,,5.0,,
14,"Koop, Rachel",So,S,5-9,38,0,38,16.0,,0,0,1,0.0,12.0,2.0,4.0,13.0,,,,,2.0,1.0,
5,"Astor, Lexi",Jr,OH,5-10,24,0,24,15.0,,0,0,2,0.0,,2.0,9.0,3.0,,,,,2.0,,
12,"Busswitz, Kate",Fr,MH,6-2,18,0,18,8.0,,19,11,63,0.127,1.0,,,6.0,1.0,,17.0,,27.5,,
13,"Cassabaum, Kati",Fr,MH,6-2,8,0,8,7.0,,0,1,4,-0.25,,,,,,,1.0,,0.5,,
-,TEAM,-,-,-,-,-,12,10.0,,0,0,0,,,,,,9.0,,,,,,
-,Totals,-,-,-,-,-,131,,,1997,702,5368,0.24100000000000002,1857.0,129.0,171.0,2581.0,99.0,83.0,322.0,44.0,2370.0,36.0,
-,Opponent Totals,-,-,-,-,-,131,,,1615,696,5217,0.17600000000000002,1536.0,99.0,170.0,2348.0,129.0,50.0,405.0,82.0,1966.5,29.0,
