Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
5,"Kramer, Rachael",So,MB,6-8,116,0,116,32.0,308,69,594,0.402,,,,9.0,,5.0,114.0,10.0,370.0,1.0,
6,"Knop, Caroline",Sr,DS,5-8,116,0,116,32.0,1,0,2,0.5,108.0,14.0,24.0,517.0,17.0,,,,15.0,1.0,
22,"Monserez, Allie",Jr,S,5-9,116,0,116,32.0,11,10,30,0.033,848.0,24.0,36.0,254.0,,,17.0,2.0,43.5,26.0,
4,"Snyder, Carli",Sr,OH,6-0,116,0,116,32.0,395,118,1230,0.225,25.0,57.0,81.0,378.0,19.0,2.0,58.0,4.0,483.0,,
15,"Joseph, Shaïnah",Sr,OH,6-1,116,0,116,32.0,295,61,658,0.35600000000000004,2.0,,1.0,79.0,,3.0,80.0,3.0,338.0,,
7,"Hammons, Paige",Fr,OH,6-1,115,0,115,32.0,105,64,384,0.107,25.0,30.0,35.0,254.0,32.0,5.0,22.0,,151.0,2.0,
1,"Alhassan, Rhamat",Sr,MB,6-4,115,0,115,32.0,309,59,623,0.401,2.0,12.0,43.0,44.0,,14.0,181.0,8.0,425.5,1.0,
11,"Huskey, Cheyenne",So,S,6-2,106,0,106,32.0,64,24,153,0.261,446.0,,,37.0,,7.0,106.0,13.0,124.0,5.0,
23,"Hargreaves, Chanelle",So,DS,5-4,77,0,77,30.0,0,0,0,,2.0,2.0,15.0,14.0,1.0,,,,2.0,,
9,"Sokolowski, Mia",So,OH,6-3,59,0,59,24.0,65,56,233,0.039,1.0,,,23.0,2.0,,20.0,5.0,75.0,,
12,"Greer, Morgyn",So,OH,6-3,26,0,26,13.0,29,18,76,0.145,1.0,1.0,,3.0,2.0,1.0,3.0,1.0,32.5,,
10,"Kellum, Taelor",Jr,MB,6-2,8,0,8,5.0,11,1,14,0.7140000000000001,,,1.0,,,1.0,2.0,,13.0,,
25,"Rogers, Lindsey",Jr,DS,5-9,6,0,6,5.0,0,0,0,,,1.0,,1.0,,,,,1.0,,
16,"Phillips, Macy",Fr,DS,5-7,2,0,2,2.0,0,0,0,,,,2.0,1.0,,,,,,,
-,TEAM,-,-,-,-,-,17,13.0,0,0,0,,,,,,18.0,,,,,,
-,Totals,-,-,-,-,-,116,,1593,480,3998,0.278,1502.0,152.0,273.0,1826.0,104.0,38.0,603.0,46.0,2084.5,37.0,
-,Opponent Totals,-,-,-,-,-,116,,1315,712,4191,0.14400000000000002,1222.0,104.0,224.0,1689.0,151.0,38.0,270.0,34.0,1592.0,23.0,
