Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"Walling, Jamie",Fr,MH,6-1,109,0,109,28.0,2.0,232,71,557,0.289,4.0,1.0,1.0,49.0,,13.0,82.0,8.0,287.0,1.0,
14,"Bandel, Darien",Sr,OH,6-0,109,0,109,28.0,26.0,477,181,1247,0.237,18.0,15.0,27.0,223.0,36.0,4.0,69.0,6.0,530.5,,
11,"Condon, Sammy",Sr,MH,6-1,109,0,109,28.0,28.0,239,93,562,0.26,24.0,44.0,45.0,80.0,1.0,10.0,99.0,15.0,342.5,2.0,
3,"Wightman, Lindsay",Fr,L/DS,5-6,109,0,109,28.0,23.0,1,0,7,0.14300000000000002,22.0,15.0,31.0,262.0,27.0,,,,16.0,,
28,"Davis, Krysteena",Jr,MH,6-0,109,0,109,28.0,28.0,179,68,435,0.255,4.0,,,25.0,1.0,13.0,145.0,8.0,264.5,,
6,"Lentz, Jordan",So,S,6-1,109,0,109,28.0,28.0,122,44,334,0.23399999999999999,1148.0,13.0,26.0,270.0,,8.0,65.0,2.0,175.5,19.0,1.0
23,"Rice, Darrin",Sr,DS,5-6,109,0,109,28.0,,2,5,14,-0.214,88.0,17.0,37.0,482.0,32.0,,,,19.0,,
12,"Malek, Aleksandra",Jr,RS,6-0,92,0,92,27.0,2.0,131,69,452,0.13699999999999998,7.0,,3.0,63.0,13.0,1.0,26.0,,145.0,1.0,
26,"Lentz, Maddie",Fr,S,5-11,58,0,58,16.0,13.0,0,1,8,-0.125,21.0,7.0,3.0,146.0,1.0,,,,7.0,1.0,
1,"Dolmage, Lauren",So,DS,5-3,47,0,47,15.0,12.0,1,0,1,1.0,13.0,8.0,7.0,69.0,12.0,,,,9.0,,
2,"Wightman, Courtney",So,OH,5-10,33,0,33,10.0,5.0,51,24,191,0.141,8.0,3.0,7.0,70.0,9.0,2.0,1.0,4.0,56.5,,
8,"Massab, Jordan",Jr,DS,5-4,24,0,24,14.0,1.0,0,0,0,,4.0,,2.0,29.0,,,1.0,,0.5,,
4,"Hobler, Megan",So,MH,6-2,23,0,23,14.0,,1,0,1,1.0,1.0,,,,,,5.0,1.0,3.5,,
2,"Dunn, Kenzie",Fr,S,5-7,9,0,9,6.0,,0,0,1,0.0,,,1.0,4.0,,,,,,,
7,"Chadwell, Katie",Sr,MH,5-11,7,0,7,6.0,,1,1,3,0.0,,,,,,,1.0,,1.5,,
10,"Schneider, Mackenzie",So,RS,6-2,6,0,6,5.0,,3,1,7,0.28600000000000003,,,,,,,,1.0,3.0,,
-,TEAM,-,-,-,-,-,46,16.0,,0,0,0,,,,,,13.0,,,1.0,,,
-,Totals,-,-,-,-,-,109,,,1440,558,3820,0.231,1362.0,123.0,190.0,1772.0,145.0,51.0,494.0,46.0,1861.0,24.0,
-,Opponent Totals,-,-,-,-,-,109,,,1400,624,4094,0.19,1315.0,145.0,213.0,1573.0,123.0,40.0,319.0,34.0,1744.5,21.0,
