Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
8,"Benson, Ellie",Sr,L/DS,5-7,89,0,89,27.0,,0,1,7,-0.14300000000000002,43.0,,4.0,365.0,22.0,,,,,,
1,"Peterson, Sierra",Jr,OH,6-0,88,0,88,27.0,25.0,178,103,591,0.127,8.0,28.0,41.0,79.0,13.0,6.0,37.0,6.0,230.5,1.0,
4,"Smith, Ashlynn",So,MB,5-11,84,0,84,26.0,26.0,214,127,763,0.114,9.0,10.0,17.0,159.0,55.0,5.0,24.0,,241.0,2.0,
11,"Richardson, Payton",Jr,MB,6-0,84,0,84,26.0,26.0,118,49,322,0.214,4.0,6.0,8.0,31.0,2.0,10.0,42.0,5.0,155.0,1.0,
7,"Munger, Mattison",Jr,S,5-8,83,0,83,27.0,20.0,26,8,71,0.254,398.0,12.0,12.0,175.0,,,7.0,1.0,41.5,17.0,
6,"Smith, Macy",Fr,MB,6-0,79,0,79,26.0,25.0,100,47,266,0.19899999999999998,,9.0,15.0,29.0,1.0,14.0,40.0,6.0,143.0,,
18,"Fay, Maddie",Fr,S,6-0,71,0,71,25.0,8.0,17,6,65,0.16899999999999998,379.0,7.0,17.0,94.0,,,6.0,1.0,27.0,6.0,
5,"Jellema, Hanna",Fr,RS,5-11,71,0,71,23.0,3.0,77,57,261,0.077,8.0,4.0,4.0,81.0,12.0,1.0,14.0,4.0,89.0,2.0,
3,"Hennen, Makenzie",So,OH,5-11,66,0,66,21.0,21.0,157,105,573,0.091,13.0,9.0,13.0,134.0,34.0,4.0,11.0,3.0,175.5,1.0,
13,"Cutts, Erin",Fr,MB,5-10,49,0,49,22.0,8.0,30,19,113,0.09699999999999999,1.0,3.0,3.0,11.0,,1.0,16.0,3.0,42.0,,
14,"Jensen, Megan",Jr,DS,5-9,33,0,33,20.0,,0,0,2,0.0,1.0,,4.0,8.0,1.0,,,,,,
2,"Brucker, Kari",Fr,L/DS,5-9,22,0,22,9.0,,0,0,0,,3.0,,2.0,31.0,6.0,,,,,,
16,"Armstrong, Brie-Anna",Fr,OH,5-9,12,0,12,8.0,,4,2,12,0.16699999999999998,,,2.0,3.0,1.0,,1.0,,4.5,,
10,"Harding, Fiona",Fr,MB,6-1,8,0,8,5.0,,2,1,9,0.111,,,,3.0,,,,,2.0,,
-,TEAM,-,-,-,-,-,12,11.0,,0,0,0,,,,,,10.0,,,,,,
-,Totals,-,-,-,-,-,89,,,923,525,3055,0.13,867.0,88.0,142.0,1203.0,157.0,41.0,198.0,29.0,1151.0,30.0,
-,Opponent Totals,-,-,-,-,-,89,,,1270,438,3102,0.268,1193.0,157.0,177.0,1394.0,88.0,39.0,286.0,35.0,1609.0,23.0,
