Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"Lilley, Madison",Fr,S,5-11,119,0,119,33.0,69,14,155,0.355,1445.0,27.0,32.0,237.0,,6.0,65.0,10.0,134.5,9.0,
7,"Brown, Kaz",Sr,MB,6-4,119,0,119,33.0,289,55,573,0.408,3.0,,,16.0,,19.0,128.0,20.0,372.0,1.0,
13,"Edmond, Leah",So,OH,6-2,119,0,119,33.0,539,155,1239,0.31,17.0,40.0,78.0,239.0,26.0,5.0,60.0,11.0,614.0,3.0,
2,"Watson, Mckenzie",Jr,DS,5-5,118,0,118,33.0,1,0,3,0.33299999999999996,22.0,14.0,24.0,208.0,17.0,,1.0,,15.5,,
11,"Franklin, Emily",Sr,MB,6-4,118,0,118,33.0,243,36,497,0.41600000000000004,9.0,18.0,44.0,53.0,,9.0,108.0,15.0,324.0,1.0,
12,"Curry, Gabby",Fr,DS,5-8,117,0,117,33.0,2,0,9,0.222,37.0,17.0,39.0,275.0,20.0,,,,19.0,3.0,
4,"Skinner, Avery",Fr,OH,6-1,109,0,109,32.0,362,149,863,0.247,2.0,,,38.0,6.0,4.0,34.0,11.0,383.0,1.0,
5,"Dusek, Ashley",Sr,DS,5-7,93,0,93,26.0,1,2,11,-0.091,82.0,11.0,29.0,405.0,10.0,,,,12.0,3.0,
8,"Mack, Darian",Sr,OH,6-0,79,0,79,30.0,146,45,371,0.272,1.0,,1.0,21.0,6.0,2.0,43.0,,169.5,,
15,"Morgan, Brooke",Jr,OPP,6-5,63,0,63,22.0,98,32,216,0.306,,,,19.0,,4.0,36.0,1.0,120.0,,
19,"Jewell, Merideth",Jr,OH,5-11,63,0,63,26.0,5,4,33,0.03,8.0,6.0,7.0,73.0,6.0,,1.0,,11.5,,
14,"Hempel, Harper",Sr,DS,5-8,16,0,16,13.0,0,0,2,0.0,,1.0,5.0,1.0,,,,,1.0,,
9,"Schmaltz, Kylie",So,DS,5-8,13,0,13,9.0,0,1,1,-1.0,,,3.0,6.0,,,,,,,
1,"Nyberg, Anna",Jr,OH,6-2,13,0,13,7.0,26,7,52,0.365,,1.0,1.0,2.0,,,3.0,2.0,28.5,,
20,"Dailey, Olivia",Jr,S,5-10,6,0,6,5.0,0,0,0,,10.0,,,1.0,,,,,,1.0,
6,"Paris, Kendyl",Fr,MB,6-3,5,0,5,4.0,3,0,6,0.5,,1.0,2.0,,,,1.0,,4.5,,
10,"Fry, Jordan",Fr,MB,6-4,4,0,4,3.0,2,1,4,0.25,,,1.0,,,,1.0,,2.5,,
-,TEAM,-,-,-,-,-,13,10.0,0,0,0,,,,,,13.0,,,,,,
-,Totals,-,-,-,-,-,119,,1786,501,4035,0.318,1636.0,136.0,266.0,1594.0,104.0,49.0,481.0,70.0,2211.5,22.0,
-,Opponent Totals,-,-,-,-,-,119,,1469,633,3982,0.21,1375.0,104.0,201.0,1511.0,136.0,37.0,340.0,56.0,1780.0,19.0,
