Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Rightnowar, Nicole",Jr,OH,5-11,118,0,118,31.0,31.0,396,171,1266,0.17800000000000002,29.0,26.0,30.0,387.0,22.0,4.0,35.0,2.0,443.5,2.0,
13,"Boerst, Sydney",Fr,MH,6-0,118,0,118,31.0,31.0,230,76,518,0.297,19.0,,,22.0,2.0,20.0,77.0,12.0,288.5,1.0,
3,"Britner, Elizabeth",Jr,DS,5-8,116,0,116,31.0,3.0,7,2,24,0.20800000000000002,51.0,7.0,50.0,452.0,24.0,,1.0,,14.5,4.0,
4,"Mills, Victoria",Jr,S,5-6,116,0,116,31.0,9.0,9,2,24,0.292,311.0,12.0,50.0,206.0,9.0,,3.0,3.0,22.5,16.0,
8,"Fuerst, Elizabeth",So,OH,5-11,112,0,112,31.0,24.0,260,122,782,0.17600000000000002,10.0,8.0,11.0,121.0,10.0,4.0,58.0,4.0,301.0,,
1,"Jaqua, Madison",Jr,S,5-10,108,0,108,30.0,24.0,24,10,99,0.141,1018.0,27.0,18.0,240.0,2.0,1.0,18.0,4.0,61.0,20.0,
6,"Seiler, Natalie",Sr,MH,6-3,105,0,105,28.0,28.0,214,76,523,0.264,2.0,8.0,35.0,71.0,1.0,16.0,78.0,5.0,277.0,3.0,
9,"Crowe, Katie",Fr,OH,5-10,102,0,102,29.0,22.0,256,139,786,0.149,10.0,24.0,67.0,261.0,22.0,4.0,18.0,14.0,293.0,,
10,"Hoffman, Lauren",Sr,OH,6-0,73,0,73,26.0,11.0,125,75,402,0.124,3.0,,,25.0,,6.0,27.0,2.0,144.5,3.0,
2,"Wayer, Julia",Fr,L,5-5,59,0,59,26.0,2.0,2,1,4,0.25,13.0,2.0,13.0,161.0,9.0,,,,4.0,1.0,
7,"Maximiano, Barbara",Sr,OH,6-0,15,0,15,8.0,1.0,17,12,59,0.085,,1.0,,6.0,,,4.0,,20.0,,
5,"Green, Je'Bria",So,MH,5-11,9,0,9,7.0,,4,2,7,0.28600000000000003,1.0,,,2.0,1.0,,,,4.0,,
-,TEAM,-,-,-,-,-,29,17.0,,0,0,0,,,,,,20.0,,,,,,
-,Totals,-,-,-,-,-,118,,,1544,688,4494,0.19,1467.0,115.0,274.0,1954.0,122.0,55.0,319.0,46.0,1873.5,50.0,
-,Opponent Totals,-,-,-,-,-,118,,,1492,629,4331,0.19899999999999998,1406.0,122.0,185.0,1974.0,115.0,54.0,424.0,61.0,1880.0,28.0,
