Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
15,"Caffey, Kayla",Fr,MB,6-0,131,0,131,34.0,202,64,427,0.32299999999999995,8.0,23.0,46.0,74.0,1.0,21.0,109.0,21.0,300.5,2.0,
10,"Larson, Kira",Sr,OPP,6-2,131,0,131,34.0,319,92,786,0.289,42.0,40.0,37.0,297.0,22.0,6.0,88.0,10.0,409.0,1.0,
8,"Munlyn, Alyssa",Jr,MB,6-2,131,0,131,34.0,277,54,585,0.381,7.0,,,27.0,2.0,30.0,158.0,15.0,386.0,2.0,
4,"Eckenrode, Courtney",Sr,S,5-9,131,0,131,34.0,33,20,87,0.149,1036.0,19.0,20.0,263.0,,3.0,19.0,5.0,64.5,14.0,
3,"Sents, Riley",So,L,5-4,131,0,131,34.0,1,0,1,1.0,80.0,11.0,20.0,461.0,21.0,,,,12.0,1.0,
14,"Deeken, Sydney",Sr,OH,6-1,116,0,116,33.0,269,132,744,0.184,9.0,5.0,11.0,110.0,10.0,18.0,52.0,5.0,318.0,2.0,
13,"Hollingsworth-Santana, Dariana",Fr,OH,6-1,116,0,116,33.0,236,121,692,0.166,20.0,22.0,42.0,217.0,32.0,5.0,73.0,12.0,299.5,1.0,
11,"Hanus, Andie",So,DS,5-8,112,0,112,34.0,0,0,0,,9.0,1.0,,98.0,13.0,,,,1.0,,
5,"Kreklow, Ali",Sr,S,5-9,96,0,96,28.0,2,2,15,0.0,384.0,4.0,20.0,97.0,1.0,,1.0,1.0,6.5,33.0,
1,"Crow, Melanie",Sr,OH,6-1,78,0,78,22.0,188,104,522,0.161,3.0,13.0,23.0,86.0,7.0,13.0,27.0,5.0,227.5,,
2,"Member-Meneh, Leketor",Fr,OH,5-8,77,0,77,26.0,197,70,481,0.264,3.0,2.0,4.0,60.0,8.0,8.0,20.0,2.0,217.0,,
6,"Perego, Paige",Jr,OH,6-2,6,0,6,4.0,2,4,21,-0.095,1.0,,,2.0,,,,,2.0,,
-,TEAM,-,-,-,-,-,28,17.0,0,0,0,,,,,,36.0,,,,,,
-,Totals,-,-,-,-,-,131,,1726,663,4361,0.244,1602.0,140.0,223.0,1792.0,153.0,104.0,547.0,76.0,2243.5,56.0,
-,Opponent Totals,-,-,-,-,-,131,,1698,785,4599,0.19899999999999998,1576.0,153.0,230.0,1748.0,140.0,82.0,411.0,48.0,2138.5,25.0,
