Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
12,"Barker, Celeste",Sr,MB,6-0,106,0,106,28.0,28.0,141,57,325,0.258,1.0,1.0,1.0,23.0,,25.0,79.0,8.0,206.5,,
16,"Richards, Mimi",So,MB,6-1,106,0,106,28.0,28.0,256,87,555,0.305,4.0,22.0,21.0,51.0,,18.0,121.0,17.0,356.5,,
23,"Stark, Brooke",Fr,L,5-7,105,0,105,28.0,,4,2,15,0.133,66.0,34.0,42.0,414.0,39.0,,,,38.0,,
5,"Stout, Hailey",Sr,OH,6-1,101,0,101,28.0,24.0,184,74,635,0.17300000000000001,26.0,7.0,4.0,204.0,7.0,1.0,46.0,3.0,215.0,,
8,"Nagle, Luz",Sr,S,6-0,100,0,100,27.0,16.0,51,13,131,0.29,548.0,4.0,4.0,93.0,,1.0,43.0,1.0,77.5,16.0,
22,"Bullard, Sophie",So,OH,5-10,97,0,97,27.0,26.0,281,144,900,0.152,11.0,15.0,35.0,288.0,34.0,8.0,42.0,4.0,325.0,2.0,
1,"Bonanno, Alex",Fr,S,5-10,91,0,91,27.0,10.0,4,1,23,0.13,382.0,26.0,15.0,137.0,1.0,,,1.0,30.0,13.0,
11,"Lewis, Delanie",Fr,OH,5-10,79,0,79,27.0,10.0,35,22,154,0.084,10.0,3.0,12.0,120.0,20.0,,4.0,,40.0,,
2,"Buchholz, Blake",Jr,OH,5-9,64,0,64,21.0,15.0,112,72,400,0.1,13.0,18.0,16.0,129.0,19.0,1.0,18.0,1.0,140.0,,
6,"Carroll, Anna",Fr,RS,6-0,49,0,49,20.0,4.0,52,34,197,0.091,2.0,1.0,3.0,32.0,,2.0,24.0,2.0,67.0,,
17,"Alpert, Stefanie",Sr,OH,6-0,49,0,49,16.0,5.0,105,57,266,0.18,4.0,9.0,8.0,34.0,3.0,,20.0,5.0,124.0,1.0,
9,"Schnobrich, Selby",Fr,,-,18,0,18,9.0,1.0,0,1,5,-0.2,29.0,3.0,4.0,16.0,,,2.0,,4.0,4.0,
3,"Ramsey, Charner",Fr,S,5-11,9,0,9,5.0,1.0,1,4,7,-0.429,34.0,,1.0,10.0,,,2.0,1.0,2.0,2.0,
10,"Risdal, Jamie",Jr,MB,6-2,3,0,3,3.0,,1,1,4,0.0,,,,,,,,,1.0,,
7,"Baker, Lindsey",Jr,OH,6-0,2,0,2,2.0,,0,1,1,-1.0,,,,,,,,,,,
14,"Holland, Bridgette",So,MB,6-0,1,0,1,1.0,,0,0,1,0.0,,,,,,,,,,,
-,TEAM,-,-,-,-,-,23,16.0,,0,0,0,,,,,,16.0,,,,,,
-,Totals,-,-,-,-,-,106,,,1227,570,3619,0.182,1130.0,143.0,166.0,1551.0,139.0,56.0,401.0,43.0,1626.5,38.0,
-,Opponent Totals,-,-,-,-,-,106,,,1422,612,3880,0.209,1302.0,139.0,228.0,1565.0,143.0,47.0,306.0,45.0,1761.0,21.0,
