Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
10,"O'Brien, Kelly",Jr,MB,6-1,116,0,116,30.0,128,52,285,0.267,2.0,,,27.0,1.0,6.0,109.0,12.0,188.5,,
1,"Rippee, Rachel",So,S,6-0,116,0,116,30.0,37,17,97,0.20600000000000002,1303.0,24.0,34.0,251.0,,4.0,71.0,6.0,100.5,26.0,
12,"Valle, Okiana",Jr,L/DS,5-2,116,0,116,30.0,4,2,11,0.182,115.0,20.0,49.0,419.0,19.0,,,,24.0,,
23,"Kolbinskie, Krista",Sr,OH,5-9,116,0,116,30.0,0,0,5,0.0,20.0,25.0,29.0,269.0,,,,,25.0,5.0,
21,"Victoria, Pilar",Sr,OH,5-11,116,,116,30.0,634,230,1595,0.253,36.0,33.0,35.0,312.0,18.0,11.0,54.0,3.0,705.0,3.0,
8,"Pamphile, Elizabeth",Fr,MB,6-1,116,0,116,30.0,234,86,513,0.28800000000000003,4.0,5.0,31.0,47.0,,6.0,89.0,6.0,289.5,1.0,
3,"Dirrigl, Hailey",Fr,OH,6-2,116,0,116,30.0,321,123,864,0.22899999999999998,1.0,10.0,8.0,45.0,10.0,4.0,44.0,3.0,357.0,,
2,"Johnson, Paige",Fr,L/DS,5-7,104,0,104,29.0,0,0,0,,9.0,14.0,10.0,90.0,5.0,,,,14.0,1.0,
17,"Ortiz, Kori",Sr,L/DS,5-5,93,0,93,28.0,1,0,1,1.0,11.0,3.0,8.0,149.0,23.0,,,,4.0,1.0,
7,"Robinson, Reagan",So,OH,5-11,63,0,63,18.0,139,64,439,0.171,4.0,4.0,17.0,35.0,6.0,1.0,10.0,3.0,149.0,,
16,"Brown, Logan",Fr,OH,6-0,40,0,40,14.0,44,22,171,0.129,1.0,2.0,10.0,26.0,4.0,,14.0,2.0,53.0,,
6,"Güitron, Fernanda",So,OPP,6-0,26,0,26,8.0,32,16,95,0.168,1.0,,,11.0,,,10.0,1.0,37.0,,
9,"Trainor, Klaire",Fr,OH,5-8,25,0,25,11.0,4,5,15,-0.067,,3.0,4.0,10.0,,,1.0,,7.5,,
-,TEAM,-,-,-,-,-,27,17.0,0,0,0,,,,,,31.0,,,,,,
-,Totals,-,-,-,-,-,116,,1578,617,4091,0.235,1507.0,143.0,235.0,1691.0,117.0,32.0,402.0,36.0,1954.0,37.0,
-,Opponent Totals,-,-,-,-,-,116,,1397,583,3903,0.209,1331.0,117.0,206.0,1581.0,143.0,49.0,506.0,84.0,1816.0,39.0,
