Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Unnamed: 19
8262016,"Prairie View @ Waco, Texas",W 3 - 0,3,0.0,46.0,13.0,107.0,0.308,40.0,6.0,11.0,51.0,3.0,0.0,2.0,3.0,53.0,0.0,0.0
8272016,@ Baylor,L 1 - 3,4,0.0,41.5,16.5,113.0,0.2255,36.0,5.5,8.5,48.5,4.0,1.0,10.0,1.5,53.0,0.0,0.0
8272016,"UTRGV @ Waco, TX",W 3 - 2,5,0.0,53.0,19.666666666666668,147.33333333333334,0.22733333333333336,44.666666666666664,5.0,9.666666666666666,61.666666666666664,5.333333333333333,1.3333333333333333,12.0,1.6666666666666667,65.33333333333333,0.0,0.0
9032016,"San Diego @ Madison, Wis.",L 0 - 3,3,0.0,47.25,18.75,134.0,0.20775000000000002,40.75,4.0,8.0,54.25,4.25,2.0,12.75,1.5,59.625,1.0,0.0
9042016,@ Wisconsin,L 0 - 3,3,0.0,43.4,19.6,128.0,0.1758,38.0,3.4,6.6,50.0,4.0,1.6,10.2,1.4,53.5,1.0,0.0
9062016,UTRGV,W 3 - 1,4,0.0,45.0,19.666666666666668,133.0,0.18133333333333335,39.833333333333336,3.3333333333333335,7.0,52.666666666666664,3.6666666666666665,1.6666666666666667,11.166666666666666,1.3333333333333333,55.583333333333336,1.0,0.0
9092016,UNLV,L 1 - 3,4,0.0,44.857142857142854,21.142857142857142,137.71428571428572,0.16742857142857145,40.142857142857146,3.0,6.428571428571429,54.57142857142857,3.4285714285714284,1.8571428571428572,10.714285714285714,1.2857142857142858,55.07142857142857,2.0,0.0
9102016,UT Arlington,W 3 - 1,4,0.0,47.0,21.125,140.75,0.17812500000000003,42.25,3.25,6.5,57.375,3.25,1.875,10.625,1.25,57.4375,2.0,0.0
9132016,Texas St.,W 3 - 2,5,0.0,48.111111111111114,21.0,143.55555555555554,0.18311111111111114,43.44444444444444,3.3333333333333335,6.666666666666667,60.0,3.2222222222222223,2.2222222222222223,11.88888888888889,1.2222222222222223,59.611111111111114,2.0,0.0
9172016,@ Rice,L 1 - 3,4,0.0,48.9,21.8,146.8,0.18010000000000004,44.6,3.4,6.6,62.0,3.7,2.1,12.5,1.5,60.65,1.0,0.0
9172016,@ Yale,L 1 - 3,4,0.0,48.7,22.9,150.4,0.16330000000000003,44.4,3.1,5.9,62.5,4.0,2.2,14.1,1.8,61.05,1.0,0.0
9202016,@ Sam Houston St.,W 3 - 0,3,0.0,48.9,21.3,146.1,0.19510000000000002,45.0,3.0,5.9,61.2,3.9,2.3,13.7,1.9,61.05,0.0,0.0
9222016,Abilene Christian,W 3 - 0,3,0.0,45.7,21.1,137.1,0.1879,43.0,2.8,5.0,58.3,3.7,2.6,13.3,1.7,57.75,3.0,0.0
